DATE,PRICE,TOTAL_VOLUME
2023-10-30 00:00:00.000,1.275293111,72748.301107962
2023-10-29 00:00:00.000,1.226498497,61556.691018514
2023-10-28 00:00:00.000,1.229337647,121399.454654327
2023-10-27 00:00:00.000,1.20283677,175767.664393486
2023-10-26 00:00:00.000,1.170249405,115515.144164849
2023-10-25 00:00:00.000,1.137674828,76861.826892025
2023-10-24 00:00:00.000,1.124629977,102474.607171327
2023-10-23 00:00:00.000,1.06495236,81259.3712019
2023-10-22 00:00:00.000,1.036225084,44726.875999852
2023-10-21 00:00:00.000,1.022122651,40637.097651814
2023-10-20 00:00:00.000,1.001379599,46788.061221424
2023-10-19 00:00:00.000,0.9827661487,76615.419833369
2023-10-18 00:00:00.000,1.003499802,34165.994109306
2023-10-17 00:00:00.000,1.024638,36665.0704926
2023-10-16 00:00:00.000,1.033470929,59531.449923867
2023-10-15 00:00:00.000,1.019443515,22261.289518549
2023-10-14 00:00:00.000,1.009845465,17661.023093955
2023-10-13 00:00:00.000,1.007039316,59418.273460914
2023-10-12 00:00:00.000,1.013850706,54178.527277502
2023-10-11 00:00:00.000,1.026485837,97350.7415505
2023-10-10 00:00:00.000,1.04359422,39277.576978838
2023-10-09 00:00:00.000,1.062552998,123789.991936458
2023-10-08 00:00:00.000,1.089999493,21558.506355375
2023-10-07 00:00:00.000,1.093797341,39976.457587801
2023-10-06 00:00:00.000,1.087929341,32307.087588914
2023-10-05 00:00:00.000,1.09358428,29551.127798385
2023-10-04 00:00:00.000,1.08852581,44073.010753505
2023-10-03 00:00:00.000,1.111545666,47239.601002273
2023-10-02 00:00:00.000,1.148175216,60176.156454636
2023-10-01 00:00:00.000,1.140497827,30224.567849051
2023-09-30 00:00:00.000,1.133678411,31709.170691085
2023-09-29 00:00:00.000,1.108585301,99742.934363838
2023-09-28 00:00:00.000,1.08612779,40937.285317163
2023-09-27 00:00:00.000,1.077169768,35898.287974771
2023-09-26 00:00:00.000,1.094414469,110993.695546019
2023-09-25 00:00:00.000,1.104721401,30074.293339005
2023-09-24 00:00:00.000,1.10904975,24742.570515904
2023-09-23 00:00:00.000,1.114994376,27682.237562154
2023-09-22 00:00:00.000,1.117109646,23947.213106404
2023-09-21 00:00:00.000,1.127386339,47196.08865922
2023-09-20 00:00:00.000,1.114925362,57743.250962357
2023-09-19 00:00:00.000,1.114543465,74812.214132539
2023-09-18 00:00:00.000,1.107239511,31898.428113899
2023-09-17 00:00:00.000,1.110323814,64314.584087513
2023-09-16 00:00:00.000,1.127628708,38920.20011109
2023-09-15 00:00:00.000,1.111725186,58191.053551188
2023-09-14 00:00:00.000,1.098544994,108478.066429218
2023-09-13 00:00:00.000,1.082661433,71120.518209861
2023-09-12 00:00:00.000,1.096976526,126409.420404414
2023-09-11 00:00:00.000,1.124242223,136907.859424208
2023-09-10 00:00:00.000,1.148146571,76409.979529722
2023-09-09 00:00:00.000,1.160579742,40150.014471449
2023-09-08 00:00:00.000,1.148276823,69465.305357691
2023-09-07 00:00:00.000,1.13492266,161093.244215233
2023-09-06 00:00:00.000,1.125616236,255112.08221846
2023-09-05 00:00:00.000,1.124329599,45658.461579665
2023-09-04 00:00:00.000,1.130330608,35275.864272091
2023-09-03 00:00:00.000,1.124246378,29826.752404561
2023-09-02 00:00:00.000,1.124572856,43609.875030821
2023-09-01 00:00:00.000,1.145456572,54698.776208975
2023-08-31 00:00:00.000,1.184599602,65629.587341438
2023-08-30 00:00:00.000,1.209024447,59378.42910436
2023-08-29 00:00:00.000,1.19781096,82233.120302339
2023-08-28 00:00:00.000,1.174484214,61378.68213435
2023-08-27 00:00:00.000,1.191044072,52472.457515051
2023-08-26 00:00:00.000,1.197467576,27972.773659148
2023-08-25 00:00:00.000,1.181984027,53370.817249618
2023-08-24 00:00:00.000,1.195642315,260164.099917408
2023-08-23 00:00:00.000,1.180275424,88548.381926043
